Generating the reference point cloud
Model name: axe_handle
Jupyter environment detected. Enabling Open3D WebVisualizer.
[Open3D INFO] WebRTC GUI backend enabled.
[Open3D INFO] WebRTCWindowSystem: HTTP handshake server disabled.
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'axe_handle', 'axe_head'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('axe_handle', 'plastic_clip'), ('axe_head', 'red_foam')], Total Error: 1.3882, Shape Error: 0.1903, Size Error: 0.6253, Ratio Error: 1.1453
Matches: [('axe_handle', 'plastic_clip'), ('axe_head', 'wood_foam')], Total Error: 1.3925, Shape Error: 0.5545, Size Error: 0.4920, Ratio Error: 0.6919
Matches: [('axe_handle', 'plastic_clip'), ('axe_head', 'wood_foam')], Total Error: 1.3925, Shape Error: 0.5545, Size Error: 0.4920, Ratio Error: 0.6919
Matches: [('axe_handle', 'drill_bit'), ('axe_head', 'tongs')], Total Error: 1.3931, Shape Error: 0.1242, Size Error: 0.7698, Ratio Error: 0.9980
Matches: [('axe_handle', 'drill_bit'), ('axe_head', 'wood_wheel')], Total Error: 1.3932, Shape Error: 0.5977, Size Error: 0.4348, Ratio Error: 0.7215
Matches: [('axe_handle', 'tongs'), ('axe_head', 'gripper_sleeve')], Total Error: 1.3953, Shape Error: 0.7901, Size Error: 0.4430, Ratio Error: 0.3243
Matches: [('axe_handle', 'hotdog'), ('axe_head', 'plastic_claw')], Total Error: 1.4015, Shape Error: 0.5524, Size Error: 0.5185, Ratio Error: 0.6614
Matches: [('axe_handle', 'screwdriver_large'), ('axe_head', 'green_foam')], Total Error: 1.4047, Shape Error: 0.6160, Size Error: 0.5057, Ratio Error: 0.5660
Matches: [('axe_handle', 'drill_bit'), ('axe_head', 'red_bowl')], Total Error: 1.4055, Shape Error: 0.4978, Size Error: 0.4830, Ratio Error: 0.8495
Matches: [('axe_handle', 'wood_L_shape'), ('axe_head', 'gripper_sleeve')], Total Error: 1.4127, Shape Error: 0.6427, Size Error: 0.5123, Ratio Error: 0.5152
Matches: [('axe_handle', 'tongs'), ('axe_head', 'hotdog')], Total Error: 1.4146, Shape Error: 0.6549, Size Error: 0.5855, Ratio Error: 0.3485
Matches: [('axe_handle', 'fries'), ('axe_head', 'plastic_handle')], Total Error: 1.4168, Shape Error: 0.4636, Size Error: 0.5681, Ratio Error: 0.7703
Matches: [('axe_handle', 'tongs'), ('axe_head', 'wood_L_shape')], Total Error: 1.4242, Shape Error: 0.1706, Size Error: 0.8775, Ratio Error: 0.7524
Matches: [('axe_handle', 'pliers'), ('axe_head', 'gelatin_box')], Total Error: 1.4243, Shape Error: 0.0800, Size Error: 0.6837, Ratio Error: 1.3211
Matches: [('axe_handle', 'foam_triangle'), ('axe_head', 'plastic_claw')], Total Error: 1.4269, Shape Error: 0.3380, Size Error: 0.6453, Ratio Error: 0.8872
Matches: [('axe_handle', 'drill_bit'), ('axe_head', 'screwdriver_small')], Total Error: 1.4281, Shape Error: 0.2030, Size Error: 0.7411, Ratio Error: 0.9680
Matches: [('axe_handle', 'gelatin_box'), ('axe_head', 'foam_triangle')], Total Error: 1.4313, Shape Error: 0.3693, Size Error: 0.5971, Ratio Error: 0.9299
Matches: [('axe_handle', 'wood_L_shape'), ('axe_head', 'hotdog')], Total Error: 1.4320, Shape Error: 0.5075, Size Error: 0.6548, Ratio Error: 0.5394
Matches: [('axe_handle', 'tongs'), ('axe_head', 'foam_w_hole')], Total Error: 1.4322, Shape Error: 0.5869, Size Error: 0.5383, Ratio Error: 0.6140
Matches: [('axe_handle', 'wood_short_midPoint'), ('axe_head', 'plastic_clip')], Total Error: 1.4351, Shape Error: 0.4482, Size Error: 0.5222, Ratio Error: 0.9293
Matches: [('axe_handle', 'plastic_claw'), ('axe_head', 'gelatin_box')], Total Error: 1.4355, Shape Error: 0.0965, Size Error: 0.7426, Ratio Error: 1.1928
Matches: [('axe_handle', 'foam_roll'), ('axe_head', 'purple_foam')], Total Error: 1.4389, Shape Error: 0.6858, Size Error: 0.3341, Ratio Error: 0.8378
Matches: [('axe_handle', 'screwdriver_small'), ('axe_head', 'red_foam')], Total Error: 1.4420, Shape Error: 0.3793, Size Error: 0.6487, Ratio Error: 0.8280
Matches: [('axe_handle', 'fries'), ('axe_head', 'drill_bit')], Total Error: 1.4422, Shape Error: 0.1495, Size Error: 0.7566, Ratio Error: 1.0720
Matches: [('axe_handle', 'wood_short_midPoint'), ('axe_head', 'tuna_can')], Total Error: 1.4451, Shape Error: 0.4573, Size Error: 0.4847, Ratio Error: 1.0062
Matches: [('axe_handle', 'screwdriver_small'), ('axe_head', 'wood_foam')], Total Error: 1.4463, Shape Error: 0.7435, Size Error: 0.5155, Ratio Error: 0.3746
Matches: [('axe_handle', 'screwdriver_small'), ('axe_head', 'wood_foam')], Total Error: 1.4463, Shape Error: 0.7435, Size Error: 0.5155, Ratio Error: 0.3746
Matches: [('axe_handle', 'wood_long_endPoint'), ('axe_head', 'gelatin_box')], Total Error: 1.4471, Shape Error: 0.4789, Size Error: 0.4713, Ratio Error: 0.9937
