Matches: [('hammer_handle', 'screwdriver_small'), ('hammer_head', 'drill_bit')], Total Error: 1.6403, Shape Error: 0.2262, Size Error: 0.9033, Ratio Error: 1.0216
Matches: [('hammer_handle', 'wooden_screw'), ('hammer_head', 'fries')], Total Error: 1.6404, Shape Error: 0.3996, Size Error: 0.7196, Ratio Error: 1.0424
Matches: [('hammer_handle', 'tongs'), ('hammer_head', 'gripper_sleeve')], Total Error: 1.6425, Shape Error: 0.7998, Size Error: 0.5641, Ratio Error: 0.5572
Matches: [('hammer_handle', 'wood_long_endPoint'), ('hammer_head', 'green_foam')], Total Error: 1.6427, Shape Error: 0.6330, Size Error: 0.5498, Ratio Error: 0.9199
Matches: [('hammer_handle', 'wood_short_midPoint'), ('hammer_head', 'foam_triangle')], Total Error: 1.6487, Shape Error: 0.7437, Size Error: 0.4440, Ratio Error: 0.9219
Matches: [('hammer_handle', 'pliers'), ('hammer_head', 'foam_triangle')], Total Error: 1.6534, Shape Error: 0.3095, Size Error: 0.7043, Ratio Error: 1.2791
Matches: [('hammer_handle', 'wood_L_shape'), ('hammer_head', 'wooden_screw')], Total Error: 1.6542, Shape Error: 0.2732, Size Error: 0.8998, Ratio Error: 0.9623
Matches: [('hammer_handle', 'tongs'), ('hammer_head', 'wood_L_shape')], Total Error: 1.6596, Shape Error: 0.1474, Size Error: 1.0022, Ratio Error: 1.0201
Matches: [('hammer_handle', 'drill_bit'), ('hammer_head', 'wooden_screw')], Total Error: 1.6680, Shape Error: 0.2732, Size Error: 0.8649, Ratio Error: 1.0599
Matches: [('hammer_handle', 'wood_L_shape'), ('hammer_head', 'red_cylinder_magnetic')], Total Error: 1.6680, Shape Error: 0.4707, Size Error: 0.7884, Ratio Error: 0.8179
Matches: [('hammer_handle', 'wood_long_endPoint'), ('hammer_head', 'gelatin_box')], Total Error: 1.6745, Shape Error: 0.4792, Size Error: 0.5567, Ratio Error: 1.2771
Matches: [('hammer_handle', 'fries'), ('hammer_head', 'green_foam')], Total Error: 1.6761, Shape Error: 0.3604, Size Error: 0.8150, Ratio Error: 1.0014
