Generating the reference point cloud
Model name: knife_handle
Model name: knife_head
Jupyter environment detected. Enabling Open3D WebVisualizer.
[Open3D INFO] WebRTC GUI backend enabled.
[Open3D INFO] WebRTCWindowSystem: HTTP handshake server disabled.
Generating the candidate point cloud
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'knife_handle', 'knife_head'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('knife_handle', 'drill_bit'), ('knife_head', 'square_cardboard')], Total Error: 4.1154, Shape Error: 0.3345, Size Error: 0.6455, Ratio Error: 6.2708
Matches: [('knife_handle', 'drill_bit'), ('knife_head', 'square_cardboard')], Total Error: 4.1154, Shape Error: 0.3345, Size Error: 0.6455, Ratio Error: 6.2708
Matches: [('knife_handle', 'red_cylinder_magnetic'), ('knife_head', 'disc')], Total Error: 4.1241, Shape Error: 1.1575, Size Error: 0.5725, Ratio Error: 4.7881
Matches: [('knife_handle', 'fries'), ('knife_head', 'foam_plate')], Total Error: 4.1257, Shape Error: 0.9046, Size Error: 0.6036, Ratio Error: 5.2349
Matches: [('knife_handle', 'wood_L_shape'), ('knife_head', 'foam_plate')], Total Error: 4.1300, Shape Error: 0.7782, Size Error: 0.8194, Ratio Error: 5.0647
Matches: [('knife_handle', 'pliers'), ('knife_head', 'disc')], Total Error: 4.1397, Shape Error: 0.6868, Size Error: 0.7200, Ratio Error: 5.4658
Matches: [('knife_handle', 'steel_bowl_small'), ('knife_head', 'white_bread')], Total Error: 4.1474, Shape Error: 1.0427, Size Error: 0.7002, Ratio Error: 4.8091
Matches: [('knife_handle', 'plastic_claw'), ('knife_head', 'foam_plate')], Total Error: 4.1585, Shape Error: 0.7948, Size Error: 0.7217, Ratio Error: 5.2840
Matches: [('knife_handle', 'wood_wheel'), ('knife_head', 'metal_triangle')], Total Error: 4.1712, Shape Error: 0.6207, Size Error: 0.7177, Ratio Error: 5.6658
Matches: [('knife_handle', 'screwdriver_large'), ('knife_head', 'foam_plate')], Total Error: 4.1773, Shape Error: 1.1590, Size Error: 0.6030, Ratio Error: 4.8305
Matches: [('knife_handle', 'popcorn'), ('knife_head', 'white_bread')], Total Error: 4.1844, Shape Error: 1.3874, Size Error: 0.5838, Ratio Error: 4.4264
Matches: [('knife_handle', 'pizza'), ('knife_head', 'white_bread')], Total Error: 4.1944, Shape Error: 1.0921, Size Error: 0.6954, Ratio Error: 4.8139
Matches: [('knife_handle', 'yellow_foam'), ('knife_head', 'metal_triangle')], Total Error: 4.1982, Shape Error: 0.8518, Size Error: 0.6286, Ratio Error: 5.4357
Matches: [('knife_handle', 'tongs'), ('knife_head', 'square_cardboard')], Total Error: 4.2043, Shape Error: 0.4819, Size Error: 0.7077, Ratio Error: 6.0293
Matches: [('knife_handle', 'tongs'), ('knife_head', 'square_cardboard')], Total Error: 4.2043, Shape Error: 0.4819, Size Error: 0.7077, Ratio Error: 6.0293
Matches: [('knife_handle', 'tongs'), ('knife_head', 'square_cardboard')], Total Error: 4.2043, Shape Error: 0.4819, Size Error: 0.7077, Ratio Error: 6.0293
Matches: [('knife_handle', 'tongs'), ('knife_head', 'square_cardboard')], Total Error: 4.2043, Shape Error: 0.4819, Size Error: 0.7077, Ratio Error: 6.0293
Matches: [('knife_handle', 'wood_spread_tooth'), ('knife_head', 'white_bread')], Total Error: 4.2055, Shape Error: 1.2256, Size Error: 0.6391, Ratio Error: 4.6815
Matches: [('knife_handle', 'purple_foam'), ('knife_head', 'disc')], Total Error: 4.2242, Shape Error: 0.9520, Size Error: 0.6974, Ratio Error: 5.1496
Matches: [('knife_handle', 'donut'), ('knife_head', 'metal_triangle')], Total Error: 4.2262, Shape Error: 0.4743, Size Error: 0.8072, Ratio Error: 5.8893
Matches: [('knife_handle', 'plastic_clip'), ('knife_head', 'disc_small')], Total Error: 4.2273, Shape Error: 0.5253, Size Error: 0.5287, Ratio Error: 6.3467
Matches: [('knife_handle', 'plastic_clip'), ('knife_head', 'disc_small')], Total Error: 4.2273, Shape Error: 0.5253, Size Error: 0.5287, Ratio Error: 6.3467
Matches: [('knife_handle', 'wood_block_stack'), ('knife_head', 'metal_triangle')], Total Error: 4.2314, Shape Error: 0.9947, Size Error: 0.6265, Ratio Error: 5.2204
Matches: [('knife_handle', 'drill_bit'), ('knife_head', 'disc_small')], Total Error: 4.2362, Shape Error: 0.4881, Size Error: 0.6088, Ratio Error: 6.2785
Matches: [('knife_handle', 'drill_bit'), ('knife_head', 'disc_small')], Total Error: 4.2362, Shape Error: 0.4881, Size Error: 0.6088, Ratio Error: 6.2785
Matches: [('knife_handle', 'wooden_screw'), ('knife_head', 'square_cardboard')], Total Error: 4.2397, Shape Error: 0.6077, Size Error: 0.6302, Ratio Error: 6.0035
Matches: [('knife_handle', 'wooden_screw'), ('knife_head', 'square_cardboard')], Total Error: 4.2397, Shape Error: 0.6077, Size Error: 0.6302, Ratio Error: 6.0035
