Generating the reference point cloud
Model name: spatula_handle
Jupyter environment detected. Enabling Open3D WebVisualizer.
[Open3D INFO] WebRTC GUI backend enabled.
[Open3D INFO] WebRTCWindowSystem: HTTP handshake server disabled.
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'spatula_handle', 'spatula_head'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('spatula_handle', 'yellow_foam'), ('spatula_head', 'circle_spam')], Total Error: 3.7693, Shape Error: 2.3167, Size Error: 0.5270, Ratio Error: 1.8513
Matches: [('spatula_handle', 'purple_foam'), ('spatula_head', 'disc_small')], Total Error: 3.7844, Shape Error: 1.5874, Size Error: 0.8778, Ratio Error: 2.6384
Matches: [('spatula_handle', 'purple_foam'), ('spatula_head', 'disc_small')], Total Error: 3.7844, Shape Error: 1.5874, Size Error: 0.8778, Ratio Error: 2.6384
Matches: [('spatula_handle', 'yellow_foam'), ('spatula_head', 'disc_small')], Total Error: 3.7864, Shape Error: 2.1669, Size Error: 0.5570, Ratio Error: 2.1249
Matches: [('spatula_handle', 'yellow_foam'), ('spatula_head', 'disc_small')], Total Error: 3.7864, Shape Error: 2.1669, Size Error: 0.5570, Ratio Error: 2.1249
Matches: [('spatula_handle', 'plastic_handle'), ('spatula_head', 'circle_spam')], Total Error: 3.7944, Shape Error: 1.8324, Size Error: 0.7620, Ratio Error: 2.4000
Matches: [('spatula_handle', 'foam_triangle'), ('spatula_head', 'circle_spam')], Total Error: 3.8040, Shape Error: 1.7815, Size Error: 0.8596, Ratio Error: 2.3259
Matches: [('spatula_handle', 'plastic_handle'), ('spatula_head', 'disc_small')], Total Error: 3.8115, Shape Error: 1.6826, Size Error: 0.7921, Ratio Error: 2.6736
Matches: [('spatula_handle', 'plastic_handle'), ('spatula_head', 'disc_small')], Total Error: 3.8115, Shape Error: 1.6826, Size Error: 0.7921, Ratio Error: 2.6736
Matches: [('spatula_handle', 'red_bowl'), ('spatula_head', 'plastic_green_square')], Total Error: 3.8165, Shape Error: 1.2030, Size Error: 0.8385, Ratio Error: 3.5500
Matches: [('spatula_handle', 'green_foam'), ('spatula_head', 'plastic_green_square')], Total Error: 3.8208, Shape Error: 0.9330, Size Error: 0.9282, Ratio Error: 3.9192
Matches: [('spatula_handle', 'foam_triangle'), ('spatula_head', 'disc_small')], Total Error: 3.8211, Shape Error: 1.6318, Size Error: 0.8896, Ratio Error: 2.5995
Matches: [('spatula_handle', 'foam_triangle'), ('spatula_head', 'disc_small')], Total Error: 3.8211, Shape Error: 1.6318, Size Error: 0.8896, Ratio Error: 2.5995
Matches: [('spatula_handle', 'foam_w_hole'), ('spatula_head', 'circle_spam')], Total Error: 3.8325, Shape Error: 1.9109, Size Error: 0.7864, Ratio Error: 2.2705
Matches: [('spatula_handle', 'hotdog'), ('spatula_head', 'circle_spam')], Total Error: 3.8414, Shape Error: 1.9959, Size Error: 0.7034, Ratio Error: 2.2842
Matches: [('spatula_handle', 'foam_w_hole'), ('spatula_head', 'disc_small')], Total Error: 3.8496, Shape Error: 1.7611, Size Error: 0.8165, Ratio Error: 2.5440
Matches: [('spatula_handle', 'foam_w_hole'), ('spatula_head', 'disc_small')], Total Error: 3.8496, Shape Error: 1.7611, Size Error: 0.8165, Ratio Error: 2.5440
Matches: [('spatula_handle', 'donut'), ('spatula_head', 'plastic_green_square')], Total Error: 3.8583, Shape Error: 1.1662, Size Error: 0.8731, Ratio Error: 3.6382
Matches: [('spatula_handle', 'hotdog'), ('spatula_head', 'disc_small')], Total Error: 3.8585, Shape Error: 1.8462, Size Error: 0.7335, Ratio Error: 2.5578
Matches: [('spatula_handle', 'hotdog'), ('spatula_head', 'disc_small')], Total Error: 3.8585, Shape Error: 1.8462, Size Error: 0.7335, Ratio Error: 2.5578
Matches: [('spatula_handle', 'gripper_sleeve'), ('spatula_head', 'plastic_green_square')], Total Error: 3.8598, Shape Error: 1.3513, Size Error: 0.7632, Ratio Error: 3.4904
Matches: [('spatula_handle', 'beans_tin'), ('spatula_head', 'plastic_green_square')], Total Error: 3.8715, Shape Error: 1.2516, Size Error: 0.7708, Ratio Error: 3.6980
Matches: [('spatula_handle', 'red_bowl'), ('spatula_head', 'circle_spam')], Total Error: 3.8919, Shape Error: 1.9760, Size Error: 0.7890, Ratio Error: 2.2538
Matches: [('spatula_handle', 'green_foam'), ('spatula_head', 'circle_spam')], Total Error: 3.8963, Shape Error: 1.7060, Size Error: 0.8788, Ratio Error: 2.6229
Matches: [('spatula_handle', 'red_bowl'), ('spatula_head', 'disc_small')], Total Error: 3.9090, Shape Error: 1.8262, Size Error: 0.8191, Ratio Error: 2.5273
Matches: [('spatula_handle', 'red_bowl'), ('spatula_head', 'disc_small')], Total Error: 3.9090, Shape Error: 1.8262, Size Error: 0.8191, Ratio Error: 2.5273
Matches: [('spatula_handle', 'green_foam'), ('spatula_head', 'disc_small')], Total Error: 3.9134, Shape Error: 1.5563, Size Error: 0.9089, Ratio Error: 2.8965
Matches: [('spatula_handle', 'green_foam'), ('spatula_head', 'disc_small')], Total Error: 3.9134, Shape Error: 1.5563, Size Error: 0.9089, Ratio Error: 2.8965
Matches: [('spatula_handle', 'donut'), ('spatula_head', 'circle_spam')], Total Error: 3.9338, Shape Error: 1.9392, Size Error: 0.8236, Ratio Error: 2.3419
Matches: [('spatula_handle', 'gripper_sleeve'), ('spatula_head', 'circle_spam')], Total Error: 3.9352, Shape Error: 2.1244, Size Error: 0.7138, Ratio Error: 2.1942
Matches: [('spatula_handle', 'wood_wheel'), ('spatula_head', 'plastic_green_square')], Total Error: 3.9447, Shape Error: 1.3125, Size Error: 0.8452, Ratio Error: 3.5739
Matches: [('spatula_handle', 'beans_tin'), ('spatula_head', 'circle_spam')], Total Error: 3.9469, Shape Error: 2.0247, Size Error: 0.7214, Ratio Error: 2.4017
Matches: [('spatula_handle', 'wood_foam'), ('spatula_head', 'plastic_green_square')], Total Error: 3.9482, Shape Error: 1.2388, Size Error: 0.8465, Ratio Error: 3.7258
Matches: [('spatula_handle', 'wood_foam'), ('spatula_head', 'plastic_green_square')], Total Error: 3.9482, Shape Error: 1.2388, Size Error: 0.8465, Ratio Error: 3.7258
Matches: [('spatula_handle', 'wood_long_midPoint'), ('spatula_head', 'plastic_green_square')], Total Error: 3.9504, Shape Error: 1.7104, Size Error: 0.4739, Ratio Error: 3.5321
Matches: [('spatula_handle', 'donut'), ('spatula_head', 'disc_small')], Total Error: 3.9509, Shape Error: 1.7894, Size Error: 0.8537, Ratio Error: 2.6155
Matches: [('spatula_handle', 'donut'), ('spatula_head', 'disc_small')], Total Error: 3.9509, Shape Error: 1.7894, Size Error: 0.8537, Ratio Error: 2.6155
Matches: [('spatula_handle', 'gripper_sleeve'), ('spatula_head', 'disc_small')], Total Error: 3.9523, Shape Error: 1.9746, Size Error: 0.7438, Ratio Error: 2.4678
Matches: [('spatula_handle', 'gripper_sleeve'), ('spatula_head', 'disc_small')], Total Error: 3.9523, Shape Error: 1.9746, Size Error: 0.7438, Ratio Error: 2.4678
Matches: [('spatula_handle', 'beans_tin'), ('spatula_head', 'disc_small')], Total Error: 3.9640, Shape Error: 1.8749, Size Error: 0.7515, Ratio Error: 2.6753
Matches: [('spatula_handle', 'beans_tin'), ('spatula_head', 'disc_small')], Total Error: 3.9640, Shape Error: 1.8749, Size Error: 0.7515, Ratio Error: 2.6753
Matches: [('spatula_handle', 'wood_block_stack'), ('spatula_head', 'plastic_green_square')], Total Error: 4.0149, Shape Error: 1.6866, Size Error: 0.6583, Ratio Error: 3.3400
Matches: [('spatula_handle', 'wood_wheel'), ('spatula_head', 'circle_spam')], Total Error: 4.0201, Shape Error: 2.0855, Size Error: 0.7958, Ratio Error: 2.2776
Matches: [('spatula_handle', 'wood_foam'), ('spatula_head', 'circle_spam')], Total Error: 4.0237, Shape Error: 2.0119, Size Error: 0.7971, Ratio Error: 2.4295
Matches: [('spatula_handle', 'wood_foam'), ('spatula_head', 'circle_spam')], Total Error: 4.0237, Shape Error: 2.0119, Size Error: 0.7971, Ratio Error: 2.4295
Matches: [('spatula_handle', 'wood_long_midPoint'), ('spatula_head', 'circle_spam')], Total Error: 4.0258, Shape Error: 2.4834, Size Error: 0.4244, Ratio Error: 2.2359
Matches: [('spatula_handle', 'wood_wheel'), ('spatula_head', 'disc_small')], Total Error: 4.0372, Shape Error: 1.9358, Size Error: 0.8258, Ratio Error: 2.5512
Matches: [('spatula_handle', 'wood_wheel'), ('spatula_head', 'disc_small')], Total Error: 4.0372, Shape Error: 1.9358, Size Error: 0.8258, Ratio Error: 2.5512
Matches: [('spatula_handle', 'wood_foam'), ('spatula_head', 'disc_small')], Total Error: 4.0408, Shape Error: 1.8621, Size Error: 0.8271, Ratio Error: 2.7031
Matches: [('spatula_handle', 'wood_foam'), ('spatula_head', 'disc_small')], Total Error: 4.0408, Shape Error: 1.8621, Size Error: 0.8271, Ratio Error: 2.7031
Matches: [('spatula_handle', 'wood_foam'), ('spatula_head', 'disc_small')], Total Error: 4.0408, Shape Error: 1.8621, Size Error: 0.8271, Ratio Error: 2.7031
Matches: [('spatula_handle', 'wood_foam'), ('spatula_head', 'disc_small')], Total Error: 4.0408, Shape Error: 1.8621, Size Error: 0.8271, Ratio Error: 2.7031
Matches: [('spatula_handle', 'wood_long_midPoint'), ('spatula_head', 'disc_small')], Total Error: 4.0429, Shape Error: 2.3337, Size Error: 0.4545, Ratio Error: 2.5094
Matches: [('spatula_handle', 'wood_long_midPoint'), ('spatula_head', 'disc_small')], Total Error: 4.0429, Shape Error: 2.3337, Size Error: 0.4545, Ratio Error: 2.5094
Matches: [('spatula_handle', 'steel_bowl_small'), ('spatula_head', 'plastic_green_square')], Total Error: 4.0514, Shape Error: 1.4067, Size Error: 0.8568, Ratio Error: 3.5756
Matches: [('spatula_handle', 'pizza'), ('spatula_head', 'plastic_green_square')], Total Error: 4.0742, Shape Error: 1.4562, Size Error: 0.8455, Ratio Error: 3.5451
