Generating the reference point cloud
Model name: screwdriver_head
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'screwdriver_body', 'screwdriver_head'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('screwdriver_body', 'wood_foam'), ('screwdriver_head', 'drill_bit')], Total Error: 1.5511, Shape Error: 0.3876, Size Error: 0.6562, Ratio Error: 1.0146
Matches: [('screwdriver_body', 'wood_long_midPoint'), ('screwdriver_head', 'red_cylinder_magnetic')], Total Error: 1.5532, Shape Error: 0.5878, Size Error: 0.6082, Ratio Error: 0.7146
Matches: [('screwdriver_body', 'wood_spread_tooth'), ('screwdriver_head', 'pliers')], Total Error: 1.5550, Shape Error: 0.0037, Size Error: 0.7831, Ratio Error: 1.5366
Matches: [('screwdriver_body', 'wood_long_midPoint'), ('screwdriver_head', 'plastic_claw')], Total Error: 1.5588, Shape Error: 0.1336, Size Error: 0.8637, Ratio Error: 1.1232
Matches: [('screwdriver_body', 'wood_long_endPoint'), ('screwdriver_head', 'tongs')], Total Error: 1.5615, Shape Error: 0.6429, Size Error: 0.5375, Ratio Error: 0.7622
Matches: [('screwdriver_body', 'screwdriver_large'), ('screwdriver_head', 'wood_long_endPoint')], Total Error: 1.5677, Shape Error: 0.9126, Size Error: 0.3348, Ratio Error: 0.6408
Matches: [('screwdriver_body', 'wood_block_stack'), ('screwdriver_head', 'screwdriver_large')], Total Error: 1.5685, Shape Error: 0.5825, Size Error: 0.6122, Ratio Error: 0.7474
Matches: [('screwdriver_body', 'wooden_screw'), ('screwdriver_head', 'screwdriver_small')], Total Error: 1.5759, Shape Error: 0.8474, Size Error: 0.5284, Ratio Error: 0.4002
Matches: [('screwdriver_body', 'wooden_screw'), ('screwdriver_head', 'plastic_clip')], Total Error: 1.5771, Shape Error: 0.6584, Size Error: 0.5995, Ratio Error: 0.6384
Matches: [('screwdriver_body', 'steel_bowl_small'), ('screwdriver_head', 'tongs')], Total Error: 1.5780, Shape Error: 0.3341, Size Error: 0.7003, Ratio Error: 1.0873
Matches: [('screwdriver_body', 'fork'), ('screwdriver_head', 'screwdriver_large')], Total Error: 1.5781, Shape Error: 0.3865, Size Error: 0.6730, Ratio Error: 1.0373
Matches: [('screwdriver_body', 'beans_tin'), ('screwdriver_head', 'wooden_screw')], Total Error: 1.5868, Shape Error: 0.6150, Size Error: 0.6014, Ratio Error: 0.7408
Matches: [('screwdriver_body', 'wood_block_stack'), ('screwdriver_head', 'wood_short_midPoint')], Total Error: 1.5900, Shape Error: 0.6359, Size Error: 0.5212, Ratio Error: 0.8658
Matches: [('screwdriver_body', 'wood_short_midPoint'), ('screwdriver_head', 'tongs')], Total Error: 1.5902, Shape Error: 0.6994, Size Error: 0.5157, Ratio Error: 0.7503
Matches: [('screwdriver_body', 'foam_roll'), ('screwdriver_head', 'wood_L_shape')], Total Error: 1.5957, Shape Error: 0.5730, Size Error: 0.5688, Ratio Error: 0.9080
Matches: [('screwdriver_body', 'fork'), ('screwdriver_head', 'wood_short_midPoint')], Total Error: 1.5996, Shape Error: 0.4398, Size Error: 0.5820, Ratio Error: 1.1557
Matches: [('screwdriver_body', 'wood_block_stack'), ('screwdriver_head', 'pliers')], Total Error: 1.6011, Shape Error: 0.2017, Size Error: 0.7851, Ratio Error: 1.2285
Matches: [('screwdriver_body', 'yellow_foam'), ('screwdriver_head', 'wood_long_endPoint')], Total Error: 1.6052, Shape Error: 0.6786, Size Error: 0.4295, Ratio Error: 0.9941
Matches: [('screwdriver_body', 'fork'), ('screwdriver_head', 'pliers')], Total Error: 1.6108, Shape Error: 0.0057, Size Error: 0.8459, Ratio Error: 1.5184
