Generating the reference point cloud
Model name: spoon_head
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('spoon_head', 'foam_triangle'), ('spoon_body', 'wood_short_midPoint')], Total Error: 1.6393, Shape Error: 1.1482, Size Error: 0.2987, Ratio Error: 0.3848
Matches: [('spoon_head', 'hotdog'), ('spoon_body', 'fries')], Total Error: 1.6401, Shape Error: 0.6008, Size Error: 0.6747, Ratio Error: 0.7291
Matches: [('spoon_head', 'hotdog'), ('spoon_body', 'tongs')], Total Error: 1.6414, Shape Error: 0.6219, Size Error: 0.6795, Ratio Error: 0.6801
Matches: [('spoon_head', 'red_bowl'), ('spoon_body', 'pliers')], Total Error: 1.6418, Shape Error: 0.5899, Size Error: 0.5959, Ratio Error: 0.9120
Matches: [('spoon_head', 'tuna_can'), ('spoon_body', 'wood_L_shape')], Total Error: 1.6426, Shape Error: 0.9969, Size Error: 0.4858, Ratio Error: 0.3197
Matches: [('spoon_head', 'steel_bowl'), ('spoon_body', 'beans_tin')], Total Error: 1.6431, Shape Error: 0.6618, Size Error: 0.6087, Ratio Error: 0.7451
Matches: [('spoon_head', 'green_foam'), ('spoon_body', 'drill_bit')], Total Error: 1.6439, Shape Error: 0.8418, Size Error: 0.5597, Ratio Error: 0.4848
Matches: [('spoon_head', 'popcorn'), ('spoon_body', 'plastic_handle')], Total Error: 1.6456, Shape Error: 0.4310, Size Error: 0.6833, Ratio Error: 1.0626
Matches: [('spoon_head', 'yellow_foam'), ('spoon_body', 'plastic_clip')], Total Error: 1.6470, Shape Error: 0.5146, Size Error: 0.7358, Ratio Error: 0.7932
Matches: [('spoon_head', 'red_bowl'), ('spoon_body', 'screwdriver_small')], Total Error: 1.6485, Shape Error: 0.8160, Size Error: 0.5170, Ratio Error: 0.6310
Matches: [('spoon_head', 'plastic_wahl_clippers'), ('spoon_body', 'tuna_can')], Total Error: 1.6503, Shape Error: 0.5138, Size Error: 0.6780, Ratio Error: 0.9170
Matches: [('spoon_head', 'steel_bowl'), ('spoon_body', 'fork')], Total Error: 1.6555, Shape Error: 1.0092, Size Error: 0.4240, Ratio Error: 0.4446
