Generating the reference point cloud
Model name: rake_head
Jupyter environment detected. Enabling Open3D WebVisualizer.
[Open3D INFO] WebRTC GUI backend enabled.
[Open3D INFO] WebRTCWindowSystem: HTTP handshake server disabled.
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'rake_handle', 'rake_head'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('rake_handle', 'wood_long_endPoint'), ('rake_head', 'wood_short_midPoint')], Total Error: 1.4542, Shape Error: 0.6077, Size Error: 0.4288, Ratio Error: 0.8352
Matches: [('rake_handle', 'wood_long_endPoint'), ('rake_head', 'plastic_handle')], Total Error: 1.4606, Shape Error: 0.4556, Size Error: 0.4388, Ratio Error: 1.1324
Matches: [('rake_handle', 'wood_long_endPoint'), ('rake_head', 'foam_roll')], Total Error: 1.4649, Shape Error: 0.6347, Size Error: 0.4206, Ratio Error: 0.8191
Matches: [('rake_handle', 'wood_long_endPoint'), ('rake_head', 'screwdriver_large')], Total Error: 1.4676, Shape Error: 0.4354, Size Error: 0.4248, Ratio Error: 1.2147
Matches: [('rake_handle', 'wood_L_shape'), ('rake_head', 'tuna_can')], Total Error: 1.4681, Shape Error: 0.4170, Size Error: 0.6932, Ratio Error: 0.7157
Matches: [('rake_handle', 'wooden_screw'), ('rake_head', 'fries')], Total Error: 1.4682, Shape Error: 0.6041, Size Error: 0.5822, Ratio Error: 0.5640
Matches: [('rake_handle', 'plastic_clip'), ('rake_head', 'foam_triangle')], Total Error: 1.4715, Shape Error: 0.2351, Size Error: 0.7184, Ratio Error: 1.0360
Matches: [('rake_handle', 'tongs'), ('rake_head', 'hotdog')], Total Error: 1.4743, Shape Error: 0.5120, Size Error: 0.5281, Ratio Error: 0.8684
Matches: [('rake_handle', 'wood_long_endPoint'), ('rake_head', 'steel_bowl_small')], Total Error: 1.4750, Shape Error: 0.6896, Size Error: 0.3855, Ratio Error: 0.7998
Matches: [('rake_handle', 'screwdriver_small'), ('rake_head', 'yellow_foam')], Total Error: 1.4766, Shape Error: 0.6933, Size Error: 0.5068, Ratio Error: 0.5531
Matches: [('rake_handle', 'wooden_screw'), ('rake_head', 'wood_foam')], Total Error: 1.4805, Shape Error: 0.4360, Size Error: 0.5601, Ratio Error: 0.9686
Matches: [('rake_handle', 'wooden_screw'), ('rake_head', 'wood_foam')], Total Error: 1.4805, Shape Error: 0.4360, Size Error: 0.5601, Ratio Error: 0.9686
Matches: [('rake_handle', 'fries'), ('rake_head', 'wood_long_endPoint')], Total Error: 1.4814, Shape Error: 0.1445, Size Error: 0.8072, Ratio Error: 1.0595
Matches: [('rake_handle', 'drill_bit'), ('rake_head', 'purple_foam')], Total Error: 1.4818, Shape Error: 0.2994, Size Error: 0.6458, Ratio Error: 1.0731
Matches: [('rake_handle', 'drill_bit'), ('rake_head', 'wood_block_stack')], Total Error: 1.4825, Shape Error: 0.5835, Size Error: 0.4958, Ratio Error: 0.8064
Matches: [('rake_handle', 'fries'), ('rake_head', 'pliers')], Total Error: 1.4924, Shape Error: 0.5434, Size Error: 0.5571, Ratio Error: 0.7838
Matches: [('rake_handle', 'plastic_clip'), ('rake_head', 'yellow_foam')], Total Error: 1.4952, Shape Error: 0.5043, Size Error: 0.5972, Ratio Error: 0.7875
Matches: [('rake_handle', 'tongs'), ('rake_head', 'red_bowl')], Total Error: 1.4953, Shape Error: 0.7009, Size Error: 0.4932, Ratio Error: 0.6023
Matches: [('rake_handle', 'fries'), ('rake_head', 'plastic_clip')], Total Error: 1.4972, Shape Error: 0.5062, Size Error: 0.5762, Ratio Error: 0.8296
Matches: [('rake_handle', 'screwdriver_small'), ('rake_head', 'fries')], Total Error: 1.4983, Shape Error: 0.5570, Size Error: 0.6339, Ratio Error: 0.6147
Matches: [('rake_handle', 'drill_bit'), ('rake_head', 'foam_w_hole')], Total Error: 1.5009, Shape Error: 0.6054, Size Error: 0.5047, Ratio Error: 0.7817
Matches: [('rake_handle', 'wooden_screw'), ('rake_head', 'red_cylinder_magnetic')], Total Error: 1.5023, Shape Error: 0.5565, Size Error: 0.4972, Ratio Error: 0.8972
Matches: [('rake_handle', 'wooden_screw'), ('rake_head', 'beans_tin')], Total Error: 1.5091, Shape Error: 0.4088, Size Error: 0.5683, Ratio Error: 1.0638
Matches: [('rake_handle', 'screwdriver_small'), ('rake_head', 'wood_foam')], Total Error: 1.5106, Shape Error: 0.3890, Size Error: 0.6119, Ratio Error: 1.0194
Matches: [('rake_handle', 'screwdriver_small'), ('rake_head', 'wood_foam')], Total Error: 1.5106, Shape Error: 0.3890, Size Error: 0.6119, Ratio Error: 1.0194
Matches: [('rake_handle', 'wooden_screw'), ('rake_head', 'wood_wheel')], Total Error: 1.5108, Shape Error: 0.7152, Size Error: 0.4791, Ratio Error: 0.6331
Matches: [('rake_handle', 'wood_long_endPoint'), ('rake_head', 'foam_triangle')], Total Error: 1.5143, Shape Error: 0.5969, Size Error: 0.4630, Ratio Error: 0.9089
Matches: [('rake_handle', 'plastic_clip'), ('rake_head', 'fries')], Total Error: 1.5169, Shape Error: 0.3680, Size Error: 0.7243, Ratio Error: 0.8491
Matches: [('rake_handle', 'wood_L_shape'), ('rake_head', 'gripper_sleeve')], Total Error: 1.5239, Shape Error: 0.6044, Size Error: 0.5103, Ratio Error: 0.8183
Matches: [('rake_handle', 'drill_bit'), ('rake_head', 'tuna_can')], Total Error: 1.5244, Shape Error: 0.4170, Size Error: 0.6968, Ratio Error: 0.8212
Matches: [('rake_handle', 'plastic_clip'), ('rake_head', 'wood_foam')], Total Error: 1.5292, Shape Error: 0.2000, Size Error: 0.7023, Ratio Error: 1.2538
Matches: [('rake_handle', 'plastic_clip'), ('rake_head', 'wood_foam')], Total Error: 1.5292, Shape Error: 0.2000, Size Error: 0.7023, Ratio Error: 1.2538
Matches: [('rake_handle', 'screwdriver_small'), ('rake_head', 'wooden_screw')], Total Error: 1.5301, Shape Error: 0.3700, Size Error: 0.6240, Ratio Error: 1.0723
Matches: [('rake_handle', 'screwdriver_small'), ('rake_head', 'red_cylinder_magnetic')], Total Error: 1.5324, Shape Error: 0.5094, Size Error: 0.5490, Ratio Error: 0.9479
Matches: [('rake_handle', 'fries'), ('rake_head', 'wood_short_midPoint')], Total Error: 1.5345, Shape Error: 0.3352, Size Error: 0.7256, Ratio Error: 0.9474
Matches: [('rake_handle', 'tongs'), ('rake_head', 'purple_foam')], Total Error: 1.5358, Shape Error: 0.4469, Size Error: 0.6309, Ratio Error: 0.9159
Matches: [('rake_handle', 'wooden_screw'), ('rake_head', 'plastic_claw')], Total Error: 1.5364, Shape Error: 0.6906, Size Error: 0.5003, Ratio Error: 0.6909
Matches: [('rake_handle', 'tongs'), ('rake_head', 'wood_block_stack')], Total Error: 1.5364, Shape Error: 0.7309, Size Error: 0.4809, Ratio Error: 0.6492
Matches: [('rake_handle', 'wood_long_endPoint'), ('rake_head', 'yellow_foam')], Total Error: 1.5380, Shape Error: 0.8660, Size Error: 0.3418, Ratio Error: 0.6605
Matches: [('rake_handle', 'screwdriver_small'), ('rake_head', 'beans_tin')], Total Error: 1.5392, Shape Error: 0.3618, Size Error: 0.6201, Ratio Error: 1.1145
Matches: [('rake_handle', 'screwdriver_small'), ('rake_head', 'wood_wheel')], Total Error: 1.5409, Shape Error: 0.6681, Size Error: 0.5309, Ratio Error: 0.6838
Matches: [('rake_handle', 'fries'), ('rake_head', 'plastic_handle')], Total Error: 1.5410, Shape Error: 0.1830, Size Error: 0.7356, Ratio Error: 1.2446
Matches: [('rake_handle', 'fries'), ('rake_head', 'foam_roll')], Total Error: 1.5452, Shape Error: 0.3622, Size Error: 0.7174, Ratio Error: 0.9313
Matches: [('rake_handle', 'wooden_screw'), ('rake_head', 'drill_bit')], Total Error: 1.5465, Shape Error: 0.6903, Size Error: 0.5115, Ratio Error: 0.6895
Matches: [('rake_handle', 'fries'), ('rake_head', 'screwdriver_large')], Total Error: 1.5479, Shape Error: 0.1628, Size Error: 0.7217, Ratio Error: 1.3269
Matches: [('rake_handle', 'plastic_clip'), ('rake_head', 'wooden_screw')], Total Error: 1.5488, Shape Error: 0.1810, Size Error: 0.7144, Ratio Error: 1.3067
Matches: [('rake_handle', 'wood_short_midPoint'), ('rake_head', 'wood_long_endPoint')], Total Error: 1.5504, Shape Error: 0.4523, Size Error: 0.5945, Ratio Error: 1.0072
Matches: [('rake_handle', 'plastic_clip'), ('rake_head', 'red_cylinder_magnetic')], Total Error: 1.5510, Shape Error: 0.3204, Size Error: 0.6394, Ratio Error: 1.1823
Matches: [('rake_handle', 'screwdriver_large'), ('rake_head', 'wood_long_endPoint')], Total Error: 1.5526, Shape Error: 0.3989, Size Error: 0.6985, Ratio Error: 0.9105
Matches: [('rake_handle', 'drill_bit'), ('rake_head', 'wood_L_shape')], Total Error: 1.5537, Shape Error: 0.4170, Size Error: 0.6734, Ratio Error: 0.9264
